epoch,avg_loss,delta,learning_rate
1,0.11729889418929815,0.0,0.0001
2,0.010069627058692276,0.10722926713060588,0.0001
3,0.005159603024367243,0.004910024034325033,0.0001
4,0.002061041846172884,0.003098561178194359,0.0001
5,0.0011912345595192163,0.0008698072866536676,0.0001
6,0.0008816070068860427,0.00030962755263317363,0.0001
7,0.0005904302684939467,0.00029117673839209603,0.0001
8,0.0004266415213351138,0.00016378874715883285,0.0001
9,0.0003622089840064291,6.44325373286847e-05,0.0001
10,0.0003150774333334994,4.7131550672929734e-05,0.0001
11,0.0002831000980222598,3.1977335311239585e-05,0.0001
12,0.00026078848313773053,2.2311614884529263e-05,0.0001
13,0.0002335977682378143,2.7190714899916218e-05,0.0001
14,0.00020309658684709576,3.050118139071855e-05,0.0001
15,0.0001898973492643563,1.3199237582739459e-05,0.0001
16,0.000180423193887691,9.474155376665294e-06,0.0001
17,0.00017922045590239576,1.202737985295249e-06,0.0001
18,0.00016166225104825572,1.7558204854140036e-05,0.0001
19,0.00014703367050969974,1.4628580538555985e-05,0.0001
20,0.000156334866915131,-9.30119640543125e-06,0.0001
21,0.00014089630676608066,1.5438560149050323e-05,0.0001
22,0.00014422243257286027,-3.3261258067796007e-06,0.0001
23,0.00013961265867692418,4.609773895936087e-06,0.0001
24,0.00012532381733763032,1.4288841339293857e-05,0.0001
25,0.00011664722933346638,8.676588004163937e-06,0.0001
26,0.00015059871329867747,-3.395148396521109e-05,0.0001
27,0.00012375324877211824,2.684546452655923e-05,0.0001
28,0.00010184778438997455,2.190546438214369e-05,0.0001
29,0.00010962085252685938,-7.773068136884828e-06,0.0001
30,9.01100468581717e-05,1.9510805668687683e-05,0.0001
31,8.59843992657261e-05,4.125647592445603e-06,0.0001
32,8.738237302168273e-05,-1.3979737559566328e-06,0.0001
33,7.69060903621721e-05,1.0476282659510624e-05,0.0001
34,8.120519396470627e-05,-4.2991036025341654e-06,0.0001
35,8.37889054309926e-05,-2.5837114662863287e-06,0.0001
36,6.898318315506913e-05,1.480572227592347e-05,0.0001
37,5.7894300698535514e-05,1.1088882456533614e-05,0.0001
38,7.040641958155902e-05,-1.2512118883023507e-05,0.0001
39,4.880056731053628e-05,2.1605852271022738e-05,0.0001
40,6.123155962995952e-05,-1.2430992319423234e-05,0.0001
