epoch,avg_loss,delta,learning_rate
1,0.016095235431566834,0.0,0.0001
2,0.006293562904465944,0.00980167252710089,0.0001
3,0.0020014538255054503,0.004292109078960493,0.0001
4,0.0010301409143721684,0.0009713129111332819,0.0001
5,0.0006896967810462229,0.0003404441333259455,0.0001
6,0.0004584613685437944,0.00023123541250242847,0.0001
7,0.0003568035379430512,0.00010165783060074319,0.0001
8,0.0002958253229735419,6.0978214969509314e-05,0.0001
9,0.0002611434290884063,3.468189388513562e-05,0.0001
10,0.0002305404770595487,3.0602952028857566e-05,0.0001
11,0.00021404888393590228,1.649159312364643e-05,0.0001
12,0.00020411135847098194,9.937525464920338e-06,0.0001
13,0.00024651671446918044,-4.24053559981985e-05,0.0001
14,0.00018239602031826506,6.412069415091538e-05,0.0001
15,0.00015867857036937493,2.3717449948890135e-05,0.0001
16,0.00014673674195364583,1.1941828415729095e-05,0.0001
17,0.00014015231627126923,6.584425682376599e-06,0.0001
18,0.00013188691700634082,8.265399264928414e-06,0.0001
19,0.00013289730850374326,-1.010391497402441e-06,0.0001
20,0.00012174931816844037,1.1147990335302893e-05,0.0001
21,0.0001469711060053669,-2.5221787836926524e-05,0.0001
22,0.00011688933682307834,3.0081769182288554e-05,0.0001
23,0.00010991341077897232,6.975926044106015e-06,0.0001
24,0.00010749628527264576,2.4171255063265643e-06,0.0001
25,9.812202988541685e-05,9.374255387228911e-06,0.0001
26,0.00011578457833820721,-1.7662548452790366e-05,0.0001
27,9.155055886367336e-05,2.4234019474533855e-05,0.0001
28,8.274576757685281e-05,8.804791286820551e-06,0.0001
29,9.310053847002563e-05,-1.0354770893172827e-05,0.0001
30,7.157690452004317e-05,2.1523633949982465e-05,0.0001
